Geography-link review

All 22 source relationships were assessed. Candidate/proximity-grade relationships do not count as reviewed geography.

| Market | Property | Geography | Decision | Basis |
|---|---|---|---|---|
| east-bay | 1 kaiser plz | Uptown Oakland | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| east-bay | 1111 broadway | Old Oakland | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| east-bay | 1221 broadway | Old Oakland | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| east-bay | 1300 broadway | Downtown Oakland | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| east-bay | 1300 clay st | Downtown Oakland | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| east-bay | 1333 broadway | Downtown Oakland | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| east-bay | 1410 7th st | West Oakland | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| east-bay | 1440 7th st | West Oakland | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| east-bay | 1440 broadway | Downtown Oakland | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| east-bay | 1814 franklin st | Downtown Oakland | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| east-bay | 1901 harrison st | Uptown Oakland | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| east-bay | 1970 broadway | Uptown Oakland | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| east-bay | 2100 franklin st | Uptown Oakland | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| east-bay | 2101 webster st | Uptown Oakland | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| east-bay | 2111 franklin st | Uptown Oakland | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| east-bay | 2201 broadway | Uptown Oakland | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| east-bay | 2335 broadway | Uptown Oakland | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| east-bay | 300 frank h ogawa plz | Downtown Oakland | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| east-bay | 415 20th st | Uptown Oakland | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| east-bay | 505 14th st | Downtown Oakland | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| east-bay | 610 16th st | Downtown Oakland | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| east-bay | 66 franklin st | Jack London Square | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
