Future public candidates

No publication approval. Media remains separately gated and all historical media remains non-public unless rights are explicit.

| Market | Property | Municipality | Geography | Decision | Media |
|---|---|---|---|---|---|
| denver-aurora | 1200 17th st | Denver | LoDo | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| denver-aurora | 1550 wewatta st | Denver | LoDo | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| denver-aurora | 1600 broadway | Denver | Central Business District | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| denver-aurora | 1700 lincoln st | Denver | Central Business District | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| denver-aurora | 205 detroit st | Denver | Cherry Creek | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| denver-aurora | 2301 blake st | Denver | Ballpark | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| denver-aurora | 250 fillmore st | Denver | Cherry Creek | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| denver-aurora | 2536 w barberry pl | Denver | Sun Valley | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| denver-aurora | 2540 w barberry pl | Denver | Sun Valley | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| denver-aurora | 2550 w barberry pl | Denver | Sun Valley | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| denver-aurora | 2556 w barberry pl | Denver | Sun Valley | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| denver-aurora | 2560 w barberry pl | Denver | Sun Valley | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| denver-aurora | 4600 s syracuse st | Denver | Denver Tech Center | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| denver-aurora | 4643 s ulster st | Denver | Denver Tech Center | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| denver-aurora | 7900 e union ave | Denver | Denver Tech Center | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| denver-aurora | 999 18th st | Denver | Central Business District | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| indianapolis | 4557 w bradbury ave | Indianapolis | Indianapolis Airport Logistics | PUBLIC_CANDIDATE_REVIEWED | RIGHTS_UNKNOWN |
| indianapolis | 7601 winton dr | Indianapolis | Park 100 / Northwest Indianapolis | PUBLIC_CANDIDATE_REVIEWED | RIGHTS_UNKNOWN |
| sacramento | 1329 n market blvd | Sacramento | Northgate / North Market Industrial | PUBLIC_CANDIDATE_REVIEWED | RIGHTS_UNKNOWN |
| sacramento | 5711 florin perkins rd | Sacramento | Power Inn Industrial | PUBLIC_CANDIDATE_REVIEWED | RIGHTS_UNKNOWN |
| sacramento | 8583 elder creek rd | Sacramento | Power Inn Industrial | PUBLIC_CANDIDATE_REVIEWED | RIGHTS_UNKNOWN |
| san-francisco | 1 sansome st | San Francisco | Financial District | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 1045 mission st | San Francisco | Civic Center | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 1100 grant ave | San Francisco | Jackson Square | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 1100 van ness ave | San Francisco | Civic Center | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 1133 market st | San Francisco | Civic Center | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 1390 market st | San Francisco | Civic Center | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 155 post st | San Francisco | Union Square | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 1998 market st | San Francisco | Hayes Valley | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 2 embarcadero ctr | San Francisco | Jackson Square | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
| san-francisco | 201 mission st | San Francisco | Financial District | NEEDS_MORE_EVIDENCE | RIGHTS_UNKNOWN |
