"first_name","last_name","email","phone","property_id","property_name","property_address","property_city","property_state","property_postal","property_size","property_year_built","property_description","space_type","space_suite","space_size","space_description","lease_category","lease_type","lease_rate","is_exec_suite","is_divisible","is_sublease","sublease_date","floor_plan_urls","property_video_url","property_image_urls","space_video_url","space_image_urls"
"Jonathan","Blatteis","jblatteis@blatteisrealty.com","4153217486","","","1410 7th St","Oakland","CA","94607",,,"1410 7th Street is situated within a culturally-rich West Oakland Mixed-Use complexÑtwo pedestrian-friendly blocks comprised of 168 residential apartments and retail space that helped reestablish Seventh Street as a retail corridor. Superb Brading & Signage Opportunity Overall complex architecturally-designed to encourage transit ridership and other travel by bicycle, foot or car. Neighborhood currently undergoing significant revitalization","RETAIL","",1025,"","","LEASE","TBD","FALSE","","","","","","","",""
"Jonathan","Blatteis","jblatteis@blatteisrealty.com","4153217486","","","1440 7th St","Oakland","CA","94607",,,"Corner retail space is available for lease directly across the street from the West Oakland BART Station. This property is on the ground floor with a 58 space parking lot located around the back along Center Street.","RETAIL","",11200,"","","LEASE","TBD","FALSE","","","","","","","",""
"Jeremy","Blatteis","jfblatteis@blatteisrealty.com","4159812844","","","3845 Atherton Rd","Rocklin","CA","95765",,,"Possible office uses include insurance, accountant, real estate, sales & law offices. Ample parking at front of buliding Conveniently located near restaurants, shopping, banking and other amenities.","OFFICE","",4943,"","","LEASE","TBD","FALSE","","","","","","","",""
"David","Blatteis","dsblatteis@blatteisrealty.com","4159812844","","","1100 Grant Ave","San Francisco","CA","94133",,1912,"Situated on the northeast corner of Grant & Pacific Avenue, this recenlty updated office space is located in the Northern end of Chinatown. Bordered by The Financial and North Beach Districts.) Within walking distance of popular retailers and restaurants.","RETAIL","",2000,"","","LEASE","TBD","FALSE","","","","","","","",""
"David","Blatteis","dsblatteis@blatteisrealty.com","4159812844","","","1100 Van Ness Ave","San Francisco","CA","94109",,1913,"The 1100 Van Ness Avenue Medical Office Building is currently under construction and will serve as a major support facility for the new California Pacific Medical Center across the street. Now is your opportunity to literally get in on the ground floor of the new 1100 Van Ness Avenue Medical Office Building: San FranciscoÕs new focus of activity directly connected to the new 274 bed, $2 BILLION CPMC Hospital. Five prominent locations will be available at the corner of Van Ness Avenue and Geary Street as depicted on the attached plan. We are now accepting lease applications. Located at one of the most dynamic intersections in San Francisco, Van Ness Avenue (Hwy. 101) is a major arterial connecting the southern peninsula, San Francisco through the Marina District, to the Golden Gate Bridge. Geary Street runs from Downtown San Francisco through to the Richmond District. Steps away from City Hall, War Memorial Opera House, Davies Symphony Hall, and Polk Street. Within easy walking distance to the affluent Pacific Heights and Russian Hill neighborhoods.","RETAIL","A",1090,"","","LEASE","TBD","FALSE","","","","","","","",""
"Jeremy","Blatteis","jfblatteis@blatteisrealty.com","4159812844","","","1133 Market St","San Francisco","CA","94103",,1906,"<P><B>Great Market Street Location</B></P><UL><LI>High traffic area with great visibility</LI><LI>Directly in front of MUNI and Bart stops </LI><LI>Directly behind the new Federal building</LI></UL>","OFFICE","",7355,"","","LEASE","TBD","FALSE","","","","","","","",""
"David","Blatteis","dsblatteis@blatteisrealty.com","4159812844","","","1210 9th Ave","San Francisco","CA","94122",,,"Blatteis Realty is pleased to present the opportunity to lease 1210 9th Avenue, located at the focal point of the dynamic Inner Sunset Shopping and Entertainment District. With an open floor plan, large windows, backroom service area including restroom, small kitchenette and storage; this commercial space is suitable for various uses. Located at Entrance of Golden Gate Park, Up to 20Õ Ceiling Height, Heavy Foot Traffic Day and Evening, Extraordinary Public Transportation Nearby (N Judah Light Rail plus Bus Lines 6, 29, 36, 43, 44, 66), Six Blocks from UCSF Medical Center Parnassus, Nearby businesses include Pacific Catch, Tartine Bakery Fiorella-Sunset, Little Sweet, Sunset Gym, Green Apple Books, GordoÕs, Nabe and Many More","RETAIL","",2100,"","","LEASE","TBD","FALSE","","","","","","","",""
"David","Blatteis","dsblatteis@blatteisrealty.com","4159812844","","","1214 Sutter St","San Francisco","CA","94109",,1913,"Blatteis Realty is pleased to present the opportunity to lease an entire building at 1214 Sutter Street. The building offers excellent window lining that provide the space with natural lighting, a mezzanine overlooking the first floor, a second floor, and a full basement offering plenty of storage space. The property is located within the Polk Village and surrounded by countless restaurants, cafes and shops. Skylights on Second Floor, Nearby Businesses Include Walgreens, Bevmo, Brownies Hardware, El Super Burrito, Slider Buns, Pizzalicious, Le Marais Bakery, and more, Walk Score ¨ | 99 (WalkerÕs Paradise), Transit Score ¨ | 85 (Excellent Transit)","OFFICE","",4000,"","","LEASE","TBD","FALSE","","","","","","","",""
"David","Blatteis","dsblatteis@blatteisrealty.com","4159812844","","","1411 Irving St","San Francisco","CA","94122",,1908,"Located in the middle of the Inner Sunset, these spaces feature large windows, high ceilings, and is ideal for use as occupational offices. The Inner Sunset is a mix of residential and commercial streets featuring many local restaurants, cafes, and shops. Nearby tenants include IPOT, King of Noodles, AndronicoÕs, and more! ADDITIONAL FEATURES: Ground Floor: 4 Offices, Breakroom, 2 Restrooms Second Floor: 5 Offices, Restroom Third Floor: 2 Large Offices, 1 Small Office, Restroom A Block away from Golden Gate Park WALK SCORE¨ 97 (WalkerÕs Paradise) TRANSIT SCORE¨ 68 (Good Transit)","RETAIL","1415",1278,"5 Offices, Restroom","","LEASE","TBD","FALSE","","","","","","","",""
"David","Blatteis","dsblatteis@blatteisrealty.com","4159812844","","","1411 Irving St","San Francisco","CA","94122",,1908,"Located in the middle of the Inner Sunset, these spaces feature large windows, high ceilings, and is ideal for use as occupational offices. The Inner Sunset is a mix of residential and commercial streets featuring many local restaurants, cafes, and shops. Nearby tenants include IPOT, King of Noodles, AndronicoÕs, and more! ADDITIONAL FEATURES: Ground Floor: 4 Offices, Breakroom, 2 Restrooms Second Floor: 5 Offices, Restroom Third Floor: 2 Large Offices, 1 Small Office, Restroom A Block away from Golden Gate Park WALK SCORE¨ 97 (WalkerÕs Paradise) TRANSIT SCORE¨ 68 (Good Transit)","RETAIL","1417",1385,"2 Large Offices, 1 Small Office, Restroom","","LEASE","TBD","FALSE","","","","","","","",""
