state,city_slug,snapshot_title,average_rent,average_rent_direction,average_rent_label,availability_rate,availability_direction,availability_label,market_trend,market_trend_direction,market_trend_label,notable_areas,notable_areas_label,summary,rent_note,availability_note,tenant_takeaway,enrichment_tier,approved
CA,palm-desert,Office Market Snapshot,$30–$55/SF/YR,flat,Typical office asking rent,Balanced supply,flat,Options vary by building quality and submarket,Stabilizing market,flat,"Tenants should compare location, cost, and flexibility",Downtown Palm Desert|Business district|Main commercial corridors,Common tenant search areas,"Palm Desert tenants can use this draft snapshot to compare office options by location, building quality, access, and lease flexibility across the market.","Office rents should be reviewed by building class, location, size, and lease structure before publication.",Availability should be verified against current local market conditions because options can vary meaningfully by building and submarket.,"Tenants should compare total occupancy cost, commute patterns, building quality, and flexibility before choosing a location.",tier_1,
CA,palm-springs,Office Market Snapshot,$30–$55/SF/YR,flat,Typical office asking rent,Balanced supply,flat,Options vary by building quality and submarket,Stabilizing market,flat,"Tenants should compare location, cost, and flexibility",340-490 S Farrell Dr,Common tenant search areas,"Palm Springs tenants can use this draft snapshot to compare office options by location, building quality, access, and lease flexibility across the market.","Office rents should be reviewed by building class, location, size, and lease structure before publication.",Availability should be verified against current local market conditions because options can vary meaningfully by building and submarket.,"Tenants should compare total occupancy cost, commute patterns, building quality, and flexibility before choosing a location.",tier_1,
CA,palmdale,Office Market Snapshot,$30–$55/SF/YR,flat,Typical office asking rent,Balanced supply,flat,Options vary by building quality and submarket,Stabilizing market,flat,"Tenants should compare location, cost, and flexibility",Sierra Hwy|2231-2361 E Palmdale Blvd|2501-2502 E Palmdale Blvd|E Palmdale Blvd,Common tenant search areas,"Palmdale tenants can use this draft snapshot to compare office options by location, building quality, access, and lease flexibility across the market.","Office rents should be reviewed by building class, location, size, and lease structure before publication.",Availability should be verified against current local market conditions because options can vary meaningfully by building and submarket.,"Tenants should compare total occupancy cost, commute patterns, building quality, and flexibility before choosing a location.",tier_1,
CA,paradise,Office Market Snapshot,$30–$55/SF/YR,flat,Typical office asking rent,Balanced supply,flat,Options vary by building quality and submarket,Stabilizing market,flat,"Tenants should compare location, cost, and flexibility",Downtown Paradise|Business district|Main commercial corridors,Common tenant search areas,"Paradise tenants can use this draft snapshot to compare office options by location, building quality, access, and lease flexibility across the market.","Office rents should be reviewed by building class, location, size, and lease structure before publication.",Availability should be verified against current local market conditions because options can vary meaningfully by building and submarket.,"Tenants should compare total occupancy cost, commute patterns, building quality, and flexibility before choosing a location.",tier_1,
CA,pasadena,Office Market Snapshot,$30–$55/SF/YR,flat,Typical office asking rent,Balanced supply,flat,Options vary by building quality and submarket,Stabilizing market,flat,"Tenants should compare location, cost, and flexibility",E Colorado Blvd|N Lake Ave,Common tenant search areas,"Pasadena tenants can use this draft snapshot to compare office options by location, building quality, access, and lease flexibility across the market.","Office rents should be reviewed by building class, location, size, and lease structure before publication.",Availability should be verified against current local market conditions because options can vary meaningfully by building and submarket.,"Tenants should compare total occupancy cost, commute patterns, building quality, and flexibility before choosing a location.",tier_1,
CA,perris,Office Market Snapshot,$30–$55/SF/YR,flat,Typical office asking rent,Balanced supply,flat,Options vary by building quality and submarket,Stabilizing market,flat,"Tenants should compare location, cost, and flexibility",Downtown Perris|Business district|Main commercial corridors,Common tenant search areas,"Perris tenants can use this draft snapshot to compare office options by location, building quality, access, and lease flexibility across the market.","Office rents should be reviewed by building class, location, size, and lease structure before publication.",Availability should be verified against current local market conditions because options can vary meaningfully by building and submarket.,"Tenants should compare total occupancy cost, commute patterns, building quality, and flexibility before choosing a location.",tier_1,
CA,petaluma,Office Market Snapshot,$20–$40/SF/YR,flat,Typical office asking rent,Balanced,flat,Local options should be verified before a search,Stable local demand,flat,Practical fit matters more than headline market trends,Baywood Dr|Kenilworth Dr,Common tenant search areas,"Petaluma tenants should verify current office options by location, building condition, and lease flexibility.",Office rent ranges should be confirmed before publication.,Current availability should be verified before making search decisions.,"Tenants should confirm pricing, availability, and location fit before moving forward.",tier_3,
CA,phelan,Office Market Snapshot,$30–$55/SF/YR,flat,Typical office asking rent,Balanced supply,flat,Options vary by building quality and submarket,Stabilizing market,flat,"Tenants should compare location, cost, and flexibility",Downtown Phelan|Business district|Main commercial corridors,Common tenant search areas,"Phelan tenants can use this draft snapshot to compare office options by location, building quality, access, and lease flexibility across the market.","Office rents should be reviewed by building class, location, size, and lease structure before publication.",Availability should be verified against current local market conditions because options can vary meaningfully by building and submarket.,"Tenants should compare total occupancy cost, commute patterns, building quality, and flexibility before choosing a location.",tier_1,
CA,pico-rivera,Office Market Snapshot,$20–$40/SF/YR,flat,Typical office asking rent,Balanced,flat,Local options should be verified before a search,Stable local demand,flat,Practical fit matters more than headline market trends,Downtown Pico Rivera|Main commercial corridors,Common tenant search areas,"Pico Rivera tenants should verify current office options by location, building condition, and lease flexibility.",Office rent ranges should be confirmed before publication.,Current availability should be verified before making search decisions.,"Tenants should confirm pricing, availability, and location fit before moving forward.",tier_3,
CA,pinole,Office Market Snapshot,$30–$55/SF/YR,flat,Typical office asking rent,Balanced supply,flat,Options vary by building quality and submarket,Stabilizing market,flat,"Tenants should compare location, cost, and flexibility",Downtown Pinole|Business district|Main commercial corridors,Common tenant search areas,"Pinole tenants can use this draft snapshot to compare office options by location, building quality, access, and lease flexibility across the market.","Office rents should be reviewed by building class, location, size, and lease structure before publication.",Availability should be verified against current local market conditions because options can vary meaningfully by building and submarket.,"Tenants should compare total occupancy cost, commute patterns, building quality, and flexibility before choosing a location.",tier_1,
CA,pittsburg,Office Market Snapshot,$30–$55/SF/YR,flat,Typical office asking rent,Balanced supply,flat,Options vary by building quality and submarket,Stabilizing market,flat,"Tenants should compare location, cost, and flexibility",Downtown Pittsburg|Business district|Main commercial corridors,Common tenant search areas,"Pittsburg tenants can use this draft snapshot to compare office options by location, building quality, access, and lease flexibility across the market.","Office rents should be reviewed by building class, location, size, and lease structure before publication.",Availability should be verified against current local market conditions because options can vary meaningfully by building and submarket.,"Tenants should compare total occupancy cost, commute patterns, building quality, and flexibility before choosing a location.",tier_1,
CA,placentia,Office Market Snapshot,$30–$55/SF/YR,flat,Typical office asking rent,Balanced supply,flat,Options vary by building quality and submarket,Stabilizing market,flat,"Tenants should compare location, cost, and flexibility",Downtown Placentia|Business district|Main commercial corridors,Common tenant search areas,"Placentia tenants can use this draft snapshot to compare office options by location, building quality, access, and lease flexibility across the market.","Office rents should be reviewed by building class, location, size, and lease structure before publication.",Availability should be verified against current local market conditions because options can vary meaningfully by building and submarket.,"Tenants should compare total occupancy cost, commute patterns, building quality, and flexibility before choosing a location.",tier_1,
CA,placerville,Office Market Snapshot,$20–$40/SF/YR,flat,Typical office asking rent,Balanced,flat,Local options should be verified before a search,Stable local demand,flat,Practical fit matters more than headline market trends,Downtown Placerville|Main commercial corridors,Common tenant search areas,"Placerville tenants should verify current office options by location, building condition, and lease flexibility.",Office rent ranges should be confirmed before publication.,Current availability should be verified before making search decisions.,"Tenants should confirm pricing, availability, and location fit before moving forward.",tier_3,
CA,playa-vista,Office Market Snapshot,$20–$40/SF/YR,flat,Typical office asking rent,Balanced,flat,Local options should be verified before a search,Stable local demand,flat,Practical fit matters more than headline market trends,Downtown Playa Vista|Main commercial corridors,Common tenant search areas,"Playa Vista tenants should verify current office options by location, building condition, and lease flexibility.",Office rent ranges should be confirmed before publication.,Current availability should be verified before making search decisions.,"Tenants should confirm pricing, availability, and location fit before moving forward.",tier_3,
CA,pleasant-hill,Office Market Snapshot,$30–$55/SF/YR,flat,Typical office asking rent,Balanced supply,flat,Options vary by building quality and submarket,Stabilizing market,flat,"Tenants should compare location, cost, and flexibility",2100-2190 Contra Costa Blvd,Common tenant search areas,"Pleasant Hill tenants can use this draft snapshot to compare office options by location, building quality, access, and lease flexibility across the market.","Office rents should be reviewed by building class, location, size, and lease structure before publication.",Availability should be verified against current local market conditions because options can vary meaningfully by building and submarket.,"Tenants should compare total occupancy cost, commute patterns, building quality, and flexibility before choosing a location.",tier_1,
CA,pleasanton,Office Market Snapshot,$20–$40/SF/YR,flat,Typical office asking rent,Balanced,flat,Local options should be verified before a search,Stable local demand,flat,Practical fit matters more than headline market trends,5745-5775 Johnson Dr|Hopyard Rd,Common tenant search areas,"Pleasanton tenants should verify current office options by location, building condition, and lease flexibility.",Office rent ranges should be confirmed before publication.,Current availability should be verified before making search decisions.,"Tenants should confirm pricing, availability, and location fit before moving forward.",tier_3,
