normalized_address	building_name	display_address	building_records	listing_count	last_listing_update	property_size	types_of_use	listing_description_sample	building_ids
the falchi building, 31-00 47th avenue	New York, Long Island City - Spaces	The Falchi Building, 31-00 47th Avenue	9	81	1722714130	0		Spaces network membership gives you immediate access to up to 540 sqft of coworking and meeting space.  Take a look at the services this flexible membership offers:  Â¥ Access to the global network   Â¥ Use of common areas (Business club and cafeteria)  Â¥ High-speed Wi-Fi  Â¥ Administrative support  Â¥ Use of services with cost (printer, telephone)  Â¥ Visitor /client reception   Â¥ Access to an extra person for free   Â¥ Cleaning service, light, air costs included  Â¥ Access to Spaces communit || Get up to 215sqft of suitable space, business lounge, coworking space or a shared private office for few days each month and pay only for the time you need:  Take a look at the services this flexible membership offers:   Â¥ Access to shared private office 24 hours a day, every day of the year  Â¥ Access to the global network   Â¥ Use of common areas (Business club, kitchen, cafeteria)  Â¥ High-speed Wi-Fi  Â¥ Administrative support  Â¥ Parcel/post handling  Â¥ Use of services with co	1843937,1844296,1855702,1867838,1905346,1917830,1931092,1969537,2170745
31-00 47th ave	New York, Long Island City - Spaces	31-00 47th Ave	1	13	1722714152	0		Other Information\n5th Floor\n14,000 SF\n\nUse:\nMagnificent Class AA built-out office space\n\nComments:\nMarble floors\nWood paneling\nHVAC\n\nTenant Benefits:\nReap Qualified Building\nRelocation & Employment Assitance Program\nQualified Tenants Receive Tax Credits of\n$3,000 Per Employee Each Year For 12 Years\nCEP - Commercial Expansion Program\nReal Estate Tax Abatements of $1.25 PSF\nEnergy Savings up to 25%\n\nAttended Lobby\n24-7 Security and Access\nPrivate Indoor Attended On-Site Food Court\nNew Passenger El || Other Information\n3rd Floor\n5,500 SF\nExpansion 10,000 SF to 30,000 SF\n\nUse:\nOffice / Flex / Mgr\n\nComments:\nHVAC / Offices\n\nTenant Benefits:\nReap Qualified Building\nRelocation & Employment Assitance Program\nQualified Tenants Receive Tax Credits of\n$3,000 Per Employee Each Year For 12 Years\nCEP - Commercial Expansion Program\nReal Estate Tax Abatements of $1.25 PSF\nEnergy Savings up to 25%\n\nAttended Lobby\n24-7 Security and Access\nPrivate Indoor Attended On-Site Food Court\nNew Passenger Elevators\n24 || Other Informatio	192229
28-07 jackson ave		28-07 Jackson Ave	1	12	1699675505	0			1088068
11-47 47th ave		11-47 47th Ave	8	11	1638244823	0		Office space for lease || 2,000 SF 2nd Floor of the 1145 building for lease. || This space is currently an office setup with the capacity to open up to a large open space. || Two skylights bringing tons of natural light into the space, two private bathrooms (one with tub/shower) and a designed kitchen area.	1822499,1843562,1867930,1892018,1931462,1969852,1992135,2020825
43-31 36th st		43-31 36th St	1	10	1469761296	0		Newly Renovated 2nd Floor office / flex space - 2 Elevators, Modern Lobby, Main Street Exposure & Excellent Signage Potential\n\nEasy access to BQE, Ed Koch Bridge, Queens Midtown Tunnel and Grand Central Parkway. M/R Trains at 36th Street Station.	444720
21-21 41st ave		21-21 41st Ave	1	7	1472871720	0		Floor loads 175 pounds per SF, 2 exterior loading docks, 1 passenger elevator, 1 large freight elevator, 100% sprinklered, M1-3 Zone - At Queensboro Bridge, Several MTA Subway Stops (F,7,N,Q,E,M,R) || Open, Clean, New Construction, Great Views || Floor loads 175 pounds per SF, 2 exterior loading docks, 1 passenger elevator, 1 large freight elevator, 100% sprinklered, M1-3 Zone	444714
21-09 borden ave		21-09 Borden Ave	1	6	1391217116	0		13,500 Sq. Ft. For Lease\n\n* Size: 13,500 square feet\n\n* BROKER BONUS - VACATION FOR 2 - ALL EXPENSES PAID if you lease this space! Call Natalie for details!\n\n* 7,000 and 13,500 sq. ft. on 4th floor\n8,000 and 16,000 sq. ft. on 7th floor\n\n* 2 freight elevators (10,000 & 8,000 lbs) and 2 passenger elevators\n\n* 10.5' ceiling\n\n* 2 interior and 2 exterior docks\n\n* Zone M3-2, fireproof and sprinklered\n\n* ICIP approved\n\n* Minutes to Manhattan and at #7 subway, Tunnel & LIE || 54,000 Sq. Ft. For Lease\n\n* Size: 54,000 square feet\n\n* BROKER BONUS - VACATION FOR 2 - ALL EXPENSES PAID if you lease this space! Call Natalie for details!\n\n* ICIP approved\n\n* New windows, roof, heating system, heavy floor load, fireproof & sprinklered, windows and light on 4 sides and views of Manhattan\n\n* Owner-occupied and managed property\n\n* Located at #7 train( 2 stops from Manhattan), Tunnel & LIE\n\n* Near new residential development || 16,000 Sq. Ft. For Lease\n\n* Size: 16,000 square feet\n\n* BROKER BONUS - VACATION FOR 2 - ALL EXPENSES PAI	193019
45-30 38th st		45-30 38th St	1	6	1472871720	0		Sublease through 12/31/16M1-4 ZoningFloor drainsLaGuardia Airport (LGA) - 6.2 miles away	444725
37-11 30th street		37-11 30th Street	2	4	1640146285	0		Retail space for lease	1944881,2035523
27-01 queens plz n		27-01 Queens Plz N	1	4	1596684744	0			623741
27-01 queens plaza n		27-01 Queens Plaza N	3	3	1604029523	0			1726564,1748414,1760758
22-19 41st avenue		22-19 41st Avenue	1	3	1466737287	0		Newly Renovated Prime Industrial Long Island City Loft/Work Space-\nNew windows, bathrooms, renovated lobby, 100% sprinklered, Floor loads (175pd), One passenger elevator, Two large Modern Freight Elevator.\n\nAt Queensboro Bridge, All Major Highways, Bridges & Tunnels.\nSubway Location ( F, N, 7, Q, E, M, R) || Newly Renovated Prime Industrial Long Island City Loft/Work Space-\nNew windows, bathrooms, renovated lobby, 100% sprinklered, Floor loads (175pd), One passenger elevator, Two large Modern Freight Elevator.	442758
26-15 jackson ave		26-15 Jackson Ave	1	3	1640146285	0		3,433 Sq. Ft. Prime Space For Lease\n\n* Size: 3,433 square feet\n\n* 850 sq. ft. land\n\n* 1 drive-in door\n\n* Parking for 4 cars\n\n* Ideal for office, storage, auto glass and repair, warehouse and distribution\n\n* Tremendous exposure on Jackson Avenue/Northern Boulevard corridor\n\n* 1/2 block from Queensboro Bridge entrance ramp\n\n* Immediate availability\n\n* Near E, V, G, R, N, W, & subway lines and Q101 and Q82 bus\n\n* Rent available upon request || 	193028
29-76 northern blvd		29-76 Northern Blvd	1	3	1391217116	0		8,000 Sq. Ft. Great Warehouse Space For Lease\n\n* Size: 8,000 square feet\n\n* Ground floor with direct access\n\n* 1,800 sq. ft. fully air-conditioned offices\n\n* 16 || 15,718 Sq. Ft. Prime Warehouse + Parking\n\n* Size: 15,718 square feet\n\n* Ground floor with direct acess\n\n* 9,350 sq. ft. fully air-conditioned executive and support offices with conference rooms, kitchen and private restrooms\n\n* 16' clear ceiling heights\n\n* 2 large off-street drive-ins\n\n* 400 amps of power and gas heat\n\n* Fireproof & sprinklered\n\n* Security in lobby with on-site surveillance\n\n* 24 hour / 7 day access\n\n* On-site parking || 11,200 Sq. Ft. Great Warehouse Space For Lease\n\n* Size: 11,200 square feet\n\n* Ground floor with direct access\n\n* 1,800 sq. ft. fully air-conditioned offices\n\n* 16	193033
3121 31 street		3121 31 Street	1	3	1445967368	0		Great 2250 Sq.Ft retail space, storefront, lease by owner, NO Broker Fee. Located in the heart of Astoria/Long Island City, on 31st Street, between Broadway and 31st Ave, between two subway stations/ Broadway and 30th Ave. Bus stop: one minute walk. \n\nVery spacious, highly adaptable, Previous use: Fitness center.\n\nPossible use: Fitness club, Medical, any sort of professional office, Retail store, Showroom.\n\nNeighbors: Multiple National Tenants on Same Block -- Investors Bank, Marathon Bank || Perfect Location!!! Store front, 1200Sq Ft, with storage facility COMPLETELY RENOVATED, MOVE -- IN CONDITION. NO FEE, rent by owner. \n\nLocated on 31st Street, 2 minutes from Broadway N train Station, 5 minutes from 3oth Ave N train station, bus stop in front of the store. Maximum Street Exposure. Huge apartment complex is in same block, another one will be put up in sixteenth months \nNational banks are near buy, High Traffic Area in the Heart of Astoria. Store has Central Air Conditioning / H || Great, spacious 	402490
47-51 33rd st		47-51 33rd St	1	3	1391217116	0		80,000 Sq. Ft. Flex Building For Sale\n\n* Size: 80,000 square feet\n\n* Also 17,000 sq. ft. for lease\n\n* 30,000 sq. ft. floor plate\n\n* Private parking lot\n\n* 14 || 30,000 Sq. Ft. of Flex Space For Lease\n\n* Size: 30,000 square feet\n\n* Whole building (80,000 sq. ft.) for sale as well\n\n* 30,000 sq. ft. floor plate\n\n* Private parking lot\n\n* 14 || 17,000 Sq. Ft. of Flex Space For Lease\n\n* Size: 17,000 square feet\n\n* Whole building (80,000 sq. ft.) for sale as well\n\n* 30,000 sq. ft. floor plate\n\n* Private parking lot\n\n* 14	193024
10-93 jackson ave		10-93 Jackson Ave	4	2	1693688943	0		1,100 SF Retail space in busy intersection of Long Island City!\n\nHighlights:\n-Busy intersection\n-Right over Pulaski Bridge from Greenpoint	1945321,1970555,2021353,2035949
11-22 44th dr		11-22 44th Dr	2	2	1664420713	0		FULLY VENTED WITH GAS\n\n¥ Situated in a brand new development in the heart of Long Island City\n\n¥ Parking spaces can be made available\n\n¥ All Uses considered || 	1811836,2078088
11-45 47th ave	11-45 47th Ave | Retail space in Hunter Point, Queens	11-45 47th Ave	2	2	1661033161	0		2,000 SF 2nd Floor Retail space for lease in Hunter Point, Queens!\n\nHighlights:\n-Surrounded by high-end residential\n-2nd floor\n-Two offices\n-Skylights\n-Two bathrooms\n-Right off the G train\n-Perfect for boutique fitness, pilates, etc	2021977,2036465
27-06 queens plaza south		27-06 Queens Plaza South	2	2	1630041959	0		Retail space for lease	1764309,1811871
31-16 30th avenue		31-16 30th Avenue	2	2	1640146285	0			1944875,2035516
3460 48th street		3460 48th Street	2	2	1640146285	0			1944879,2035519
25-25 borden ave		25-25 Borden Ave	1	2	1331332898	0		8,000 Sq. Ft. Industrial Space For Lease\n\n* Size: 8,000 square feet\n\n* 14 || 11,000 Sq. Ft. Industrial Space For Lease\n\n* Size: 11,000 square feet\n\n* Prime LIC location at Tunnel, LIE, Bridge, BQE and minutes to Manhattan\n\n* 2 drive-ins\n\n* Street-to-street\n\n* Gas heat\n\n* Sprinkler\n\n* Good for manufacturing, contractor, fleet parking\n\n* Can be combined with adjacent 8,000 sq. ft. industrial space	193034
26-26 jackson ave		26-26 Jackson Ave	1	2	1648004902	0			2053850
2700 queens plz s		2700 Queens Plz S	1	2	1564026084	0			645460
33-00 47th ave		33-00 47th Ave	1	2	1713409646	0			2081197
37-11 30th st		37-11 30th St	1	2	1664420713	0		Retail space for lease	2053869
41-21 28th st		41-21 28th St	1	2	1391217116	0		16,500 - 20,000 Sq. Ft. Office/Flex Space For Lease\n\n* Size: 16,500 square feet\n\n* Located at the heart of Queens Plaza North and the Queensboro Bridge in a 30,000 SF 2-story building\n\n* Modern, newly renovated offices\n\n* 16,600 SF on 2nd floor - fully air-conditioned\n\n* New windows and carpet\n\n* Exclusive freight elevator\n\n* Ground floor truck loading dock\n\n* Five minutes to Midtown Manhattan, near all bridges, tunnels and airports\n\n* Close to 7, N, W, R, F, G, E subway lines and B61, Q32, Q39, || 15,500 Sq. Ft. Prime Development Site For Sale\n\n* Size: 15,500 square feet\n\n* Modern newly renovated offices, new windows, carpet\n\n* 16,600 fully air-conditioned sq. ft. on 2nd floor\n\n* Exclusive freight elevator\n\n* Ground floor truck loading dock\n\n* Zone M1-5/R9\n\n* Block 417 Lot 3\n\n* Located in the heart of Queens Plaza North at Queensboro Bridge with a five minute trip to Manhattan\n\n* Near all bridges, tunnels, airports and close to 7, N, W, R, F, G E subway lines and B61, Q32, Q39, Q60, Q66, 	219391
42-24 orchard st		42-24 Orchard St	1	2	1340406135	0		25,000 Sq. Ft. Incredible Loft Space Available For Lease\n\n* Size: 25,000 square feet\n\n* 25,000 sq. ft. on fourth floor\n\n* 14 foot ceilings\n\n* Fireproof and sprinklered\n\n* 12' x 8' freight elevator\n\n* At subway and bridge || 20,000 Sq. Ft. Basement Space For Lease\n\n* Size: 20,000 square feet\n\n* 14	193021
