"first_name","last_name","email","phone","property_id","property_name","property_address","property_city","property_state","property_postal","property_size","property_year_built","property_description","space_type","space_suite","space_size","space_description","lease_category","lease_type","lease_rate","is_exec_suite","is_divisible","is_sublease","sublease_date","floor_plan_urls","property_video_url","property_image_urls","space_video_url","space_image_urls"
"Nick","Panarese","ndp@vvco.com","8476342300","","","1300 Busch Pkwy","Buffalo Grove","IL","60089",,,"Abdundant Restaurants, Hotels and Fitness Center Nearby Lower Lake County Taxes Quality Construction Throughout","INDUSTRIAL","1390",2556,"","","LEASE","TBD","FALSE","","","","","","","",""
"Nick","Panarese","ndp@vvco.com","8476342300","","","1405 Busch Pkwy","Buffalo Grove","IL","60089",,,"Abundant parking Office space can be expanded to suit Outstanding lease opportunity! Lower Lake County Real Estate Taxes Quality Finishes Throughout","INDUSTRIAL","",9480,"","","LEASE","TBD","FALSE","","","","","","","",""
"Charles","Lamphere","crl@vvco.com","8476342300","","","100 Oakwood Rd","Lake Zurich","IL","60047",,,"Offices can Expanded /Modified to Suit Individual Entrances, Truck Docks and Signage Quality Masonry Construction and Finishes Lower Lake County Taxes Flexible Zoning Accommodates a Variety of Uses","INDUSTRIAL","",2880,"","","LEASE","TBD","FALSE","","","","","","","",""
"Charles","Lamphere","crl@vvco.com","8476342300","","","410 E IL Route 22","Lake Zurich","IL","60047",,,"Offices can be modified to Suit Abundant Parking Lower Lake County Taxes Quality Construction Throughout Prime location at corner of Route 22 and Oakwood","INDUSTRIAL","",4899,"","","LEASE","TBD","FALSE","","","","","","","",""
"Nick","Panarese","ndp@vvco.com","8476342300","","","1 Overlook Pt","Lincolnshire","IL","60069",,,"Spaces available from 1,032 to 123,476 sq. ft. Indoor Heated Parking for 50 Cars Floor Plan Yields Great Natural Light and 16 Corner Offices per Floor Walk to Public Transit Connections Newly Renovated Common Areas Walk to Cheesecake Factory, Lincolnshire Commons Restaurants and Shopping Easy Access to Lincolnshire Corporate Center Hotels, Restaurants and Marriott Resort Minutes to New Lifetime Fitness in The Corporate Woods Outdoor Amphitheater and Miles of Walking/Jogging Paths Dual Power Feed with Automatic Transfer Switch Insures a Consistent Power Supply Two Individual HVAC Units per Floor to Accommodate Efficient After Hours Operations In-Building Secure Tenant Storage Space Available Dedicated Freight Elevator and Loading Docks Responsive On-Site Management Strong Debt-Free Ownership","OFFICE","110",1,"Single office available","","LEASE","TBD","TRUE","","","","","","","",""
"Nick","Panarese","ndp@vvco.com","8476342300","","","1 Overlook Pt","Lincolnshire","IL","60069",,,"Spaces available from 1,032 to 123,476 sq. ft. Indoor Heated Parking for 50 Cars Floor Plan Yields Great Natural Light and 16 Corner Offices per Floor Walk to Public Transit Connections Newly Renovated Common Areas Walk to Cheesecake Factory, Lincolnshire Commons Restaurants and Shopping Easy Access to Lincolnshire Corporate Center Hotels, Restaurants and Marriott Resort Minutes to New Lifetime Fitness in The Corporate Woods Outdoor Amphitheater and Miles of Walking/Jogging Paths Dual Power Feed with Automatic Transfer Switch Insures a Consistent Power Supply Two Individual HVAC Units per Floor to Accommodate Efficient After Hours Operations In-Building Secure Tenant Storage Space Available Dedicated Freight Elevator and Loading Docks Responsive On-Site Management Strong Debt-Free Ownership","OFFICE","270",3470,"","","LEASE","TBD","FALSE","","","","","","","",""
"Nick","Panarese","ndp@vvco.com","8476342300","","","1 Overlook Pt","Lincolnshire","IL","60069",,,"Spaces available from 1,032 to 123,476 sq. ft. Indoor Heated Parking for 50 Cars Floor Plan Yields Great Natural Light and 16 Corner Offices per Floor Walk to Public Transit Connections Newly Renovated Common Areas Walk to Cheesecake Factory, Lincolnshire Commons Restaurants and Shopping Easy Access to Lincolnshire Corporate Center Hotels, Restaurants and Marriott Resort Minutes to New Lifetime Fitness in The Corporate Woods Outdoor Amphitheater and Miles of Walking/Jogging Paths Dual Power Feed with Automatic Transfer Switch Insures a Consistent Power Supply Two Individual HVAC Units per Floor to Accommodate Efficient After Hours Operations In-Building Secure Tenant Storage Space Available Dedicated Freight Elevator and Loading Docks Responsive On-Site Management Strong Debt-Free Ownership","OFFICE","400",37668,"","","LEASE","TBD","FALSE","","","","","","","",""
"Nick","Panarese","ndp@vvco.com","8476342300","","","1 Overlook Pt","Lincolnshire","IL","60069",,,"Spaces available from 1,032 to 123,476 sq. ft. Indoor Heated Parking for 50 Cars Floor Plan Yields Great Natural Light and 16 Corner Offices per Floor Walk to Public Transit Connections Newly Renovated Common Areas Walk to Cheesecake Factory, Lincolnshire Commons Restaurants and Shopping Easy Access to Lincolnshire Corporate Center Hotels, Restaurants and Marriott Resort Minutes to New Lifetime Fitness in The Corporate Woods Outdoor Amphitheater and Miles of Walking/Jogging Paths Dual Power Feed with Automatic Transfer Switch Insures a Consistent Power Supply Two Individual HVAC Units per Floor to Accommodate Efficient After Hours Operations In-Building Secure Tenant Storage Space Available Dedicated Freight Elevator and Loading Docks Responsive On-Site Management Strong Debt-Free Ownership","OFFICE","500",23912,"","","LEASE","TBD","FALSE","","","","","","","",""
"Nick","Panarese","ndp@vvco.com","8476342300","","","1 Overlook Pt","Lincolnshire","IL","60069",,,"Spaces available from 1,032 to 123,476 sq. ft. Indoor Heated Parking for 50 Cars Floor Plan Yields Great Natural Light and 16 Corner Offices per Floor Walk to Public Transit Connections Newly Renovated Common Areas Walk to Cheesecake Factory, Lincolnshire Commons Restaurants and Shopping Easy Access to Lincolnshire Corporate Center Hotels, Restaurants and Marriott Resort Minutes to New Lifetime Fitness in The Corporate Woods Outdoor Amphitheater and Miles of Walking/Jogging Paths Dual Power Feed with Automatic Transfer Switch Insures a Consistent Power Supply Two Individual HVAC Units per Floor to Accommodate Efficient After Hours Operations In-Building Secure Tenant Storage Space Available Dedicated Freight Elevator and Loading Docks Responsive On-Site Management Strong Debt-Free Ownership","OFFICE","250",1,"Single office available","","LEASE","TBD","TRUE","","","","","","","",""
"Nick","Panarese","ndp@vvco.com","8476342300","","","1 Overlook Pt","Lincolnshire","IL","60069",,,"Spaces available from 1,032 to 123,476 sq. ft. Indoor Heated Parking for 50 Cars Floor Plan Yields Great Natural Light and 16 Corner Offices per Floor Walk to Public Transit Connections Newly Renovated Common Areas Walk to Cheesecake Factory, Lincolnshire Commons Restaurants and Shopping Easy Access to Lincolnshire Corporate Center Hotels, Restaurants and Marriott Resort Minutes to New Lifetime Fitness in The Corporate Woods Outdoor Amphitheater and Miles of Walking/Jogging Paths Dual Power Feed with Automatic Transfer Switch Insures a Consistent Power Supply Two Individual HVAC Units per Floor to Accommodate Efficient After Hours Operations In-Building Secure Tenant Storage Space Available Dedicated Freight Elevator and Loading Docks Responsive On-Site Management Strong Debt-Free Ownership","OFFICE","251",1,"Single office available","","LEASE","TBD","TRUE","","","","","","","",""
"Nick","Panarese","ndp@vvco.com","8476342300","","","1 Overlook Pt","Lincolnshire","IL","60069",,,"Spaces available from 1,032 to 123,476 sq. ft. Indoor Heated Parking for 50 Cars Floor Plan Yields Great Natural Light and 16 Corner Offices per Floor Walk to Public Transit Connections Newly Renovated Common Areas Walk to Cheesecake Factory, Lincolnshire Commons Restaurants and Shopping Easy Access to Lincolnshire Corporate Center Hotels, Restaurants and Marriott Resort Minutes to New Lifetime Fitness in The Corporate Woods Outdoor Amphitheater and Miles of Walking/Jogging Paths Dual Power Feed with Automatic Transfer Switch Insures a Consistent Power Supply Two Individual HVAC Units per Floor to Accommodate Efficient After Hours Operations In-Building Secure Tenant Storage Space Available Dedicated Freight Elevator and Loading Docks Responsive On-Site Management Strong Debt-Free Ownership","OFFICE","252",1,"Single office available","","LEASE","TBD","TRUE","","","","","","","",""
"Nick","Panarese","ndp@vvco.com","8476342300","","","1 Overlook Pt","Lincolnshire","IL","60069",,,"Spaces available from 1,032 to 123,476 sq. ft. Indoor Heated Parking for 50 Cars Floor Plan Yields Great Natural Light and 16 Corner Offices per Floor Walk to Public Transit Connections Newly Renovated Common Areas Walk to Cheesecake Factory, Lincolnshire Commons Restaurants and Shopping Easy Access to Lincolnshire Corporate Center Hotels, Restaurants and Marriott Resort Minutes to New Lifetime Fitness in The Corporate Woods Outdoor Amphitheater and Miles of Walking/Jogging Paths Dual Power Feed with Automatic Transfer Switch Insures a Consistent Power Supply Two Individual HVAC Units per Floor to Accommodate Efficient After Hours Operations In-Building Secure Tenant Storage Space Available Dedicated Freight Elevator and Loading Docks Responsive On-Site Management Strong Debt-Free Ownership","OFFICE","265",4738,"","","LEASE","TBD","FALSE","","","","","","","",""
"Nick","Panarese","ndp@vvco.com","8476342300","","","1 Overlook Pt","Lincolnshire","IL","60069",,,"Spaces available from 1,032 to 123,476 sq. ft. Indoor Heated Parking for 50 Cars Floor Plan Yields Great Natural Light and 16 Corner Offices per Floor Walk to Public Transit Connections Newly Renovated Common Areas Walk to Cheesecake Factory, Lincolnshire Commons Restaurants and Shopping Easy Access to Lincolnshire Corporate Center Hotels, Restaurants and Marriott Resort Minutes to New Lifetime Fitness in The Corporate Woods Outdoor Amphitheater and Miles of Walking/Jogging Paths Dual Power Feed with Automatic Transfer Switch Insures a Consistent Power Supply Two Individual HVAC Units per Floor to Accommodate Efficient After Hours Operations In-Building Secure Tenant Storage Space Available Dedicated Freight Elevator and Loading Docks Responsive On-Site Management Strong Debt-Free Ownership","OFFICE","249",1,"Single office available","","LEASE","TBD","TRUE","","","","","","","",""
"Nick","Panarese","ndp@vvco.com","8476342300","","","1 Overlook Pt","Lincolnshire","IL","60069",,,"Spaces available from 1,032 to 123,476 sq. ft. Indoor Heated Parking for 50 Cars Floor Plan Yields Great Natural Light and 16 Corner Offices per Floor Walk to Public Transit Connections Newly Renovated Common Areas Walk to Cheesecake Factory, Lincolnshire Commons Restaurants and Shopping Easy Access to Lincolnshire Corporate Center Hotels, Restaurants and Marriott Resort Minutes to New Lifetime Fitness in The Corporate Woods Outdoor Amphitheater and Miles of Walking/Jogging Paths Dual Power Feed with Automatic Transfer Switch Insures a Consistent Power Supply Two Individual HVAC Units per Floor to Accommodate Efficient After Hours Operations In-Building Secure Tenant Storage Space Available Dedicated Freight Elevator and Loading Docks Responsive On-Site Management Strong Debt-Free Ownership","OFFICE","245",1,"Single office available","","LEASE","TBD","TRUE","","","","","","","",""
"Nick","Panarese","ndp@vvco.com","8476342300","","","1 Overlook Pt","Lincolnshire","IL","60069",,,"Spaces available from 1,032 to 123,476 sq. ft. Indoor Heated Parking for 50 Cars Floor Plan Yields Great Natural Light and 16 Corner Offices per Floor Walk to Public Transit Connections Newly Renovated Common Areas Walk to Cheesecake Factory, Lincolnshire Commons Restaurants and Shopping Easy Access to Lincolnshire Corporate Center Hotels, Restaurants and Marriott Resort Minutes to New Lifetime Fitness in The Corporate Woods Outdoor Amphitheater and Miles of Walking/Jogging Paths Dual Power Feed with Automatic Transfer Switch Insures a Consistent Power Supply Two Individual HVAC Units per Floor to Accommodate Efficient After Hours Operations In-Building Secure Tenant Storage Space Available Dedicated Freight Elevator and Loading Docks Responsive On-Site Management Strong Debt-Free Ownership","OFFICE","528",1,"2 Private Offices with Open Area","","LEASE","TBD","TRUE","","","","","","","",""
"Nick","Panarese","ndp@vvco.com","8476342300","","","1 Overlook Pt","Lincolnshire","IL","60069",,,"Spaces available from 1,032 to 123,476 sq. ft. Indoor Heated Parking for 50 Cars Floor Plan Yields Great Natural Light and 16 Corner Offices per Floor Walk to Public Transit Connections Newly Renovated Common Areas Walk to Cheesecake Factory, Lincolnshire Commons Restaurants and Shopping Easy Access to Lincolnshire Corporate Center Hotels, Restaurants and Marriott Resort Minutes to New Lifetime Fitness in The Corporate Woods Outdoor Amphitheater and Miles of Walking/Jogging Paths Dual Power Feed with Automatic Transfer Switch Insures a Consistent Power Supply Two Individual HVAC Units per Floor to Accommodate Efficient After Hours Operations In-Building Secure Tenant Storage Space Available Dedicated Freight Elevator and Loading Docks Responsive On-Site Management Strong Debt-Free Ownership","OFFICE","142",1,"Single office available","","LEASE","TBD","TRUE","","","","","","","",""
"Nick","Panarese","ndp@vvco.com","8476342300","","","1 Overlook Pt","Lincolnshire","IL","60069",,,"Spaces available from 1,032 to 123,476 sq. ft. Indoor Heated Parking for 50 Cars Floor Plan Yields Great Natural Light and 16 Corner Offices per Floor Walk to Public Transit Connections Newly Renovated Common Areas Walk to Cheesecake Factory, Lincolnshire Commons Restaurants and Shopping Easy Access to Lincolnshire Corporate Center Hotels, Restaurants and Marriott Resort Minutes to New Lifetime Fitness in The Corporate Woods Outdoor Amphitheater and Miles of Walking/Jogging Paths Dual Power Feed with Automatic Transfer Switch Insures a Consistent Power Supply Two Individual HVAC Units per Floor to Accommodate Efficient After Hours Operations In-Building Secure Tenant Storage Space Available Dedicated Freight Elevator and Loading Docks Responsive On-Site Management Strong Debt-Free Ownership","OFFICE","144",1,"Single office available","","LEASE","TBD","TRUE","","","","","","","",""
