Representative candidates

Candidate generation only; live recommendation representative sets are unchanged.

| Market | Property | Municipality | Geography | Decision | Media |
|---|---|---|---|---|---|
| denver-aurora | 10445 e 49th ave | Denver | unassigned | NOT_REPRESENTATIVE | RIGHTS_UNKNOWN |
| denver-aurora | 11551 e 49th ave | Denver | unassigned | NOT_REPRESENTATIVE | RIGHTS_UNKNOWN |
| denver-aurora | 1200 17th st | Denver | LoDo | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| denver-aurora | 1550 wewatta st | Denver | LoDo | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| denver-aurora | 1600 broadway | Denver | Central Business District | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| denver-aurora | 1700 lincoln st | Denver | Central Business District | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| denver-aurora | 205 detroit st | Denver | Cherry Creek | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| denver-aurora | 2301 blake st | Denver | Ballpark | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| denver-aurora | 250 fillmore st | Denver | Cherry Creek | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| denver-aurora | 2536 w barberry pl | Denver | Sun Valley | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| denver-aurora | 2540 w barberry pl | Denver | Sun Valley | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| denver-aurora | 2550 w barberry pl | Denver | Sun Valley | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| denver-aurora | 2556 w barberry pl | Denver | Sun Valley | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| denver-aurora | 2560 w barberry pl | Denver | Sun Valley | POSSIBLE_REPRESENTATIVE | RIGHTS_UNKNOWN |
| denver-aurora | 4550 kingston st | Denver | unassigned | NOT_REPRESENTATIVE | RIGHTS_UNKNOWN |
