"first_name","last_name","email","phone","property_id","property_name","property_address","property_city","property_state","property_postal","property_size","property_year_built","property_description","space_type","space_suite","space_size","space_description","lease_category","lease_type","lease_rate","is_exec_suite","is_divisible","is_sublease","sublease_date","floor_plan_urls","property_video_url","property_image_urls","space_video_url","space_image_urls"
"Scott","Mason","scott@calcosf.com","4152151937","","","1000 25th St","San Francisco","CA","94107",,1939,"18,432+/- SF ¥ 15,232+/- SF warehouse ¥ 3,200+/- SF office areas ¥ 4,982 +/- SF additional yard/parking ¥ Close proximity to I-280 & 3rd Street Corridor ¥ 5 minutes to downtown San Francisco ¥ Majority of ceiling area 18Õ - 26Õ ¥ Five (5) drive-in loading doors ¥ Skylights ¥ 600 amp, 3 phase power ¥ Available January 1, 2024","INDUSTRIAL","",18432,"","","LEASE","TBD","FALSE","","","","","","","",""
"Scott","Mason","scott@calcosf.com","4152151937","","","121 2nd St","San Francisco","CA","94105",,1907,"Located on the best block of 2nd St Amenity-rich location with unlimited food/drink options Turnkey creative offices with furniture and Internet in-place 4-5 private rooms for meetings/calls High-ceiling creative aesthetic Exceptional downtown views Corner suite with great lighting Full floor with direct elevator access Onsite storage Showers Bike parking","OFFICE","",4051,"","","LEASE","TBD","FALSE","","","","","","","",""
"Scott","Mason","scott@calcosf.com","4152151937","","","1400 Minnesota St","San Francisco","CA","94107",,1963,"12,400 ± SF total × 1,883 ± SF of mezzanine office ¥ Two (2) pony dock positions and one (1) ramped drive-in loading door ¥ Heavy Power (300 AMPs)* ¥ Sprinklered ¥ Zoned: PDR-1-G ¥ Available now ¥ Inquire for rental Rate","INDUSTRIAL","1426",12400,"","","LEASE","TBD","FALSE","","","","","","","",""
"Scott","Mason","scott@calcosf.com","4152151937","","","1400 Minnesota St","San Francisco","CA","94107",,1963,"12,400 ± SF total × 1,883 ± SF of mezzanine office ¥ Two (2) pony dock positions and one (1) ramped drive-in loading door ¥ Heavy Power (300 AMPs)* ¥ Sprinklered ¥ Zoned: PDR-1-G ¥ Available now ¥ Inquire for rental Rate","INDUSTRIAL","1440",10831,"","","LEASE","TBD","FALSE","","","","","","","",""
"Scott","Mason","scott@calcosf.com","4152151937","","","1400 Minnesota St","San Francisco","CA","94107",,1963,"12,400 ± SF total × 1,883 ± SF of mezzanine office ¥ Two (2) pony dock positions and one (1) ramped drive-in loading door ¥ Heavy Power (300 AMPs)* ¥ Sprinklered ¥ Zoned: PDR-1-G ¥ Available now ¥ Inquire for rental Rate","INDUSTRIAL","1400",20244,"","","LEASE","TBD","FALSE","","","","","","","",""
"Scott","Mason","scott@calcosf.com","4152151937","","","1426 Minnesota St/1051 26th St","San Francisco","CA","94107",,,"12,356 ± sf (1,402 ± sf is office space) ¥ One (1) pony dock/ramped drive-in loading door ¥ Heavy power ¥ Sprinklered ¥ Zoning - PDR-1-G ¥ Available November 1, 2023 or sooner","INDUSTRIAL","",12400,"","","LEASE","TBD","FALSE","","","","","","","",""
"Scott","Mason","scott@calcosf.com","4152151937","","","1475 Indiana St/1400-1440 Minnesota St","San Francisco","CA","94107",,,"31,075± sf ¥ Office: 5,701 ± SF (including mezzanine) ¥ Heavy power estimated at 1,200 Amps * ¥ One (1) dock high loading door ¥ One (1) recessed dock high loading door ¥ One (1) ramped drive-in loading door ¥ Three (3) pony dock positions ¥ Sprinklered ¥ Zoning - PDR-1-G ¥ Available now ¥ Inquire for Rental Rate","INDUSTRIAL","",31075,"","","LEASE","TBD","FALSE","","","","","","","",""
"Scott","Mason","scott@calcosf.com","4152151937","","","1630 Tennessee St","San Francisco","CA","94107",,,"17,730 ± sf of clear span warehouse ¥ 1,600 ± sf of office ¥ One (1) drive-in loading door and two (2) dock high loading doors ¥ High-cube warehouse ¥ Available immediately","OFFICE","",17730,"","","LEASE","1.85 per sqft","FALSE","","","","","","","",""
"Scott","Mason","scott@calcosf.com","4152151937","","","1650 Evans Ave","San Francisco","CA","94124",,1961,"18,000 +/- SF of building ¥ Includes private on-site parking ¥ One (1) drive-in loading door ¥ Two (2) pony docks ¥ 600 AMP, 3 phase power ¥ Sprinklered ¥ ADA restrooms/ access ¥ In close proximity to I-280, I-101 & downtown San Francisco","INDUSTRIAL","",18000,"","","LEASE","1.48 per sqft","FALSE","","","","","","","",""
"Scott","Mason","scott@calcosf.com","4152151937","","","1680 Tennessee St","San Francisco","CA","94107",,,"6,930 ± sf of total space ¥ 5,330 ± sf of warehouse /1,600 ± sf of office ¥ Can be combined with adjacent unit (1680 Tennessee) for a total of 17,730 ± sf ¥ One (1) dock high loading door ¥ High-cube and clear span warehouse ¥ Available immediately","OFFICE","",10800,"","","LEASE","1.85 per sqft","FALSE","","","","","","","",""
"Scott","Mason","scott@calcosf.com","4152151937","","","196 Napoleon St","San Francisco","CA","94124",,,"Touchstone Commercial Partners is pleased to offer owner/users, investors and tenants an opportunity to purchase or lease 244 Napoleon Street, San Francisco, CA 94124. The approximately 20,000 square feet building sits on approximately 29,704 square feet of land. Located adjacent to the bustling Bayshore Boulevard, this is a unique opportunity to purchase or lease a stand alone warehouse with secure yard space in one of San FranciscoÕs core industrial neighborhoods. If purchased, the property will be delivered vacant at the close of escrow, making this a perfect opportunity for a user or investor to acquire this highly-functional warehouse property.","INDUSTRIAL","200",27988,"","","LEASE","TBD","FALSE","","","","","","","",""
"Scott","Mason","scott@calcosf.com","4152151937","","","196 Napoleon St","San Francisco","CA","94124",,,"Touchstone Commercial Partners is pleased to offer owner/users, investors and tenants an opportunity to purchase or lease 244 Napoleon Street, San Francisco, CA 94124. The approximately 20,000 square feet building sits on approximately 29,704 square feet of land. Located adjacent to the bustling Bayshore Boulevard, this is a unique opportunity to purchase or lease a stand alone warehouse with secure yard space in one of San FranciscoÕs core industrial neighborhoods. If purchased, the property will be delivered vacant at the close of escrow, making this a perfect opportunity for a user or investor to acquire this highly-functional warehouse property.","INDUSTRIAL","222",30035,"","","LEASE","TBD","FALSE","","","","","","","",""
"Scott","Mason","scott@calcosf.com","4152151937","","","196 Napoleon St","San Francisco","CA","94124",,,"Touchstone Commercial Partners is pleased to offer owner/users, investors and tenants an opportunity to purchase or lease 244 Napoleon Street, San Francisco, CA 94124. The approximately 20,000 square feet building sits on approximately 29,704 square feet of land. Located adjacent to the bustling Bayshore Boulevard, this is a unique opportunity to purchase or lease a stand alone warehouse with secure yard space in one of San FranciscoÕs core industrial neighborhoods. If purchased, the property will be delivered vacant at the close of escrow, making this a perfect opportunity for a user or investor to acquire this highly-functional warehouse property.","INDUSTRIAL","196",26980,"","","LEASE","TBD","FALSE","","","","","","","",""
"Scott","Mason","scott@calcosf.com","4152151937","","","2295 Palou Ave","San Francisco","CA","94124",,,"","OFFICE","",2000,"2,000 +/- sf of total space, Three private offices, Remaining space open, Small kitchenette, Available now","","LEASE","1.30 per sqft","FALSE","","","","","","","",""
"Scott","Mason","scott@calcosf.com","4152151937","","","28 Cleveland St","San Francisco","CA","94103",,1943,"SOMA location ¥ 3,746+/- RSF ¥ Flex/lab industrial warehouse ¥ Polished concrete finishes ¥ Glass plated roll-up door ¥ Upstairs full kitchen & office ¥ Excellent natural light / skylights ¥ Three (3) restrooms with showers ¥ Well maintained building; move-in ready ¥ Ideal for Cleantech, Hardware, AI, Lab, Design or Industrial Users","INDUSTRIAL","",3746,"","","LEASE","TBD","FALSE","","","","","","","",""
"Scott","Mason","scott@calcosf.com","4152151937","","","301 Toland St","San Francisco","CA","94124",,,"Net Rentable Area: ±8,000Ð100,000 SF available ¥ Clear Height: ±16'Ð22' ¥ Built-to-suit office ¥ 17 dock high doors ¥ 2 grade level doors ¥ 4,000 amps","INDUSTRIAL","A",36338,"","","LEASE","TBD","FALSE","","","","","","","",""
"Scott","Mason","scott@calcosf.com","4152151937","","","375 Alabama St","San Francisco","CA","94110",,1926,"Ground Floor PDR for Sublease","OFFICE","360",6948,"","","LEASE","TBD","FALSE","","","","","","","",""
"Scott","Mason","scott@calcosf.com","4152151937","","","375 Alabama St","San Francisco","CA","94110",,1926,"Ground Floor PDR for Sublease","OFFICE","300",11395,"","","LEASE","TBD","FALSE","","","","","","","",""
"Scott","Mason","scott@calcosf.com","4152151937","","","445 Barneveld Ave","San Francisco","CA","94124",,,"5,620 ± SF of total space ¥ 1,600 ± SF of office divided on two floors ¥ 4,020 ± SF of clear span warehouse ¥ One large drive-in loading door ¥ Available October 1, 2023","INDUSTRIAL","",5620,"","","LEASE","1.75 per sqft","FALSE","","","","","","","",""
"Scott","Mason","scott@calcosf.com","4152151937","","","510 Mission St","San Francisco","CA","94105",,,"Private entrance ¥ 2nd floor walk up ¥ Great natural light ¥ Spiral staircase leading to private roof access ¥ Across the street from salesforce park ¥ Walking distance to downtown amenities ¥ Coming soon: New LVT flooring throughout Brand new kitchenette Updated bathroom","OFFICE","",4037,"","","LEASE","TBD","FALSE","","","","","","","",""
