city,state_abbr,state,county,lat,lng,building_count,city_description,metro,updated_at
"Oklahoma City","OK","Oklahoma","Grady",35.49313736,-97.45914459,52764,"If you're looking for commercial real estate for sale or lease in The Cinderella City, you've come to the right place. Oklahoma City is home to over 265 aerospace and aviation firms and to a biotechnology industry that has over 40,000 employees. You can get your tasty barbecue and other fried food anywhere in the city as well as having an amazing night in Bricktown, the hot spot of the city which makes it a very inviting place to open an office or business. Buy or rent the perfect commercial real estate space for you in Oklahoma-City, OK. Whether you're searching for new office space, a retail store, or a warehouse, we can help connect you with Oklahoma City brokers and landlords that can meet your exact needs.","Oklahoma City, OK","2020-04-16 18:06:01"
"Chicago","IL","Illinois","Cook",41.87953568,-87.62433624,49896,"The Chicago office space market exhibits a mixed landscape characterized by a moderate recovery in office leasing and stable vacancy rates hovering around 17 percent. Due to ongoing hybrid work models, demand has shifted towards flexible office environments, with coworking spaces experiencing significant growth, accounting for approximately 10 percent of the total office footprint. Rising rental rates in sought after submarkets, signal a potential rebound, particularly in areas like the West Loop and River North, where amenities and access to transit are highly valued. For small businesses, this evolving landscape presents opportunities amidst challenges prioritizing flexibility and location can enhance competitiveness in securing appropriate office space. As firms navigate these trends, understanding the nuances of leasing options will be crucial for sustained growth.","Chicago-Naperville-Elgin, IL-IN","2025-05-29 03:04:57"
"Columbus","OH","Ohio","Delaware",39.96220779,-83.00067902,48000,"Columbus shows a mixed but cautiously optimistic commercial real estate landscape. Office leasing has picked up pace, with a slight reduction in vacancy rates, currently hovering around 11 percent. This is attributed to increased demand for flexible work arrangements and collaborative spaces. The rise of coworking environments has significantly impacted this trend, providing small businesses with cost effective alternatives and fostering networking opportunities. Notably, operators are adapting to hybrid work demands, offering flexible lease terms that appeal to startups and expanding companies.","Columbus, OH","2025-03-13 00:26:53"
"Oakland","CA","California","San Francisco",37.77885437,-122.21878052,45868,"Retail space in Oakland: Oakland has been consistently considered an under retailed area by national analysts and a flood of new residents promises to bring more retail potential. Retails hubs in the city of Oakland include Old Oakland, CityCenter, and surrounding Lake Merritt. Exciting retail opportunities include restaurant space, storefront space, nightclub space, and gas stations. Companies who look in this city also look in nearby cities such as Emeryville and Berkeley. Office space in Oakland: Oakland offers many attractive options for Oakland residents who are looking for a new site for their office or commercial space . Many of Oakland's office locations offer great BART access, convenient parking, and great access to amenities. Many large and small companies find Oakland as an attractive solution to higher priced commercial real estate elsewhere in the Bay Area. Oakland offers high rise office space , low rise office space , lofts , and converted warehouse office space . Some companies who call Oakland home include APL, Ask.com, Kaiser, and Dreyers Ice Cream. Industrial space in Oakland: Oakland offers great freeway access and the Port of Oakland which helps business justify locating their commercial real estate within Oakland. Oakland offers warehouse space near Interstate 880, 580, the Oakland Airport, and the FedEx terminal. Oakland has storage spaces, warehouse spaces, distribution spaces, and manufacturing spaces. Also in the category is the growing trend of lab spaces being built into communities. This lab space can be difficult to find and Oakland and their commercial owners have been building lab spaces for commercial companies many of which come out of UC Berkeley. The Oakland airport and West Oakland submarkets offer a great deal of industrial space. Quick Market Stats: There's roughly 12,000,000 square feet of office space with a rough overall vacancy rate of 12%. The average asking rates for Class A office space is $3.00(fs) and Class B office space is $2.00(fs) per square foot per month. The industrial space market is roughly 30,000,000 square feet and has an overall vacancy rate of just 4%. Average lease rates range from $.50 to $.75(nnn) per square foot per month.","San Francisco-Oakland-Fremont, CA","0000-00-00 00:00:00"
"Houston","TX","Texas","Fort Bend",29.75995636,-95.36253357,45812,"If you're looking for commercial real estate for sale or lease in The Space City, you've come to the right place. Houston is known as the space capital of the world, low cost of living, a wonderful theatre district and the beautiful Hermann Park. There is also no income tax in the state of Texas, Houston is a very inviting place to open an office or business. Buy or rent the perfect commercial real estate space for you in Houston, TX. Whether you're searching for new office space, a retail store, or a warehouse, we can help connect you with Houston brokers and landlords that can meet your exact needs.","Houston-Pasadena-The Woodlands, TX","2020-04-16 17:56:00"
"Jacksonville","FL","Florida","St. Johns",30.32622147,-81.65792847,44435,"If you're looking for commercial real estate for sale or lease in the River City, you've come to the right place. Jacksonville was named the fifth fastest growing city in the U.S. because companies like Amazon and BMW are all trying to get a piece of the prime location so they can deliver all around the world. With no state tax, Jacksonville is a very inviting place to open an office or business. Buy or rent the perfect commercial real estate space for you in Jacksonville, FL. Whether you're searching for new office space, a retail store, or a warehouse, we can help connect you with Jacksonville brokers and landlords that can meet your exact needs.","Jacksonville, FL","2020-04-16 17:52:19"
"New York","NY","New York","New York",40.75605392,-73.98695374,42658,"As of late 2023, New York Citys commercial real estate market, particularly the office sector, continues to navigate a complex landscape marked by fluctuating vacancy rates and evolving tenant needs. The office vacancy rate has stabilized around 16, reflecting a slight decrease from previous highs, yet it remains elevated compared to prepandemic levels. Recent trends indicate a gradual rebound in leasing activity, driven by companies reevaluating their workspace strategies to accommodate hybrid work models. Market health indicators such as rental rates have varied significantly by submarket, with areas like Midtown experiencing more resilience compared to Downtown, where vacancy rates are notably higher. Landlords are increasingly offering flexible lease terms and incentives to attract tenants, showcasing a shift toward a tenantcentric approach. The growth of coworking spaces continues to shape the landscape, catering to a diverse range of tenants from startups to established firms. Coworking facilities not only provide flexibility but also foster collaboration and innovation, making them particularly appealing to small businesses that may require scalable solutions. They serve as a buffer against longterm commitments traditionally associated with conventional office leases. For small businesses considering office space in New York, it is essential to assess location priorities and budget constraints. Flexibility remains paramount businesses may benefit from coworking arrangements or shorter lease terms to adapt as their needs evolve. Additionally, the emphasis on amenities and creative office layouts can enhance employee satisfaction and productivity, making these factors critical considerations when selecting space in the current environment.","New York-Newark-Jersey City, NY-NJ","2025-02-06 20:17:44"
"Atlanta","GA","Georgia","Clayton",33.75448608,-84.38966370,42235,"The Atlanta commercial real estate market is witnessing a notable shift in office leasing dynamics. Vacancy rates have stabilized around 15 percent, a slight increase attributed to companies downsizing or adopting hybrid work models. However, the market is not without signs of resilience average rental rates have softened marginally, providing opportunities for tenants. Coworking spaces continue to flourish, reflecting a growing preference among small businesses for flexible leasing options. This trend allows companies to adapt rapidly to changing workforce needs without longterm commitments.","Atlanta-Sandy Springs-Roswell, GA","2025-05-29 05:10:30"
"Denver","CO","Colorado","Jefferson",39.75508881,-104.98810577,39850,"Denver, CO, thrives as a business hub with a booming tech scene, along with finance and energy sectors. Downtown, LoDo, and the RiNo District are key areas, offering eclectic office spaces in a city known for its entrepreneurial spirit, outdoor lifestyle, and commitment to sustainability, appealing to a diverse range of companies.","Denver-Aurora-Centennial, CO","2024-03-13 17:27:15"
"Baton Rouge","LA","Louisiana","East Baton Rouge",30.46788025,-91.12960052,39783,"The Baton Rouge commercial real estate market has shown resilience, with office leasing activity gradually rebounding. Vacancy rates have stabilized around 12 percent, reflecting a modest recovery as businesses adapt to hybrid work models. Demand for coworking spaces has surged, offering flexible solutions for small businesses seeking cost effective office environments without long term commitments. These collaborative spaces have become essential in attracting startups and entrepreneurs, fostering a dynamic work culture. Key market health indicators, such as absorption rates and rental price trends, signal positive momentum, with some neighborhoods experiencing increased interest from tech and creative sectors. Small businesses should prioritize flexible leasing options and consider subleasing opportunities as companies downsize their traditional office footprints.","Baton Rouge, LA","2025-05-29 23:45:15"
