Live representative-set calibration

The foundation audits but does not alter live sets. Evidence-foundation relationships are explicit reviewed overrides; raw reconciliation alone cannot recreate those judgments.

| Market | Existing properties | Reconciliation matches | Match rate | Missed |
|---|---|---|---|---|
| san-francisco | 12 | 9 | 0.75 | 3 |
| sacramento | 3 | 3 | 1 |  |
| indianapolis | 2 | 2 | 1 |  |
| denver-aurora |  |  | n/a |  |
| orlando |  |  | n/a |  |
| seattle-kent-eastside |  |  | n/a |  |
| san-jose-south-bay |  |  | n/a |  |
| detroit-novi |  |  | n/a |  |
| atlanta |  |  | n/a |  |
| nashville |  |  | n/a |  |
| kansas-city-mo-ks |  |  | n/a |  |
| miami-doral-medley |  |  | n/a |  |
| las-vegas-clark-county |  |  | n/a |  |
| east-bay |  |  | n/a |  |
| los-angeles-independent-cities |  |  | n/a |  |
| san-diego | 5 | evidence calibration | compatible |  |
| north-orange-county | 2 | evidence calibration | compatible |  |
| phoenix | 3 | evidence calibration | compatible |  |
