Unresolved high-value queue

Highest-observation records downgraded from v1 AUTO_RECONCILE_QA.

| Market | Property | Municipality | Decision | Reason | Listings |
|---|---|---|---|---|---|
| seattle-kent-eastside | 18601 hwy 99 | Lynnwood | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 174 |
| seattle-kent-eastside | 1530 140th ave ne | Bellevue | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 109 |
| seattle-kent-eastside | 1227 124th ave ne | Bellevue | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 85 |
| seattle-kent-eastside | 16256 military rd s | Seattle | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 78 |
| seattle-kent-eastside | 18601 wa 99 | Lynnwood | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 60 |
| seattle-kent-eastside | 753 n 35th st | Seattle | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 46 |
| seattle-kent-eastside | 2707 ne 125th st | Seattle | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 43 |
| seattle-kent-eastside | 10231 16th ave sw | Seattle | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 42 |
| seattle-kent-eastside | 20109 aurora ave n | Seattle | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 40 |
| seattle-kent-eastside | 701 5th ave | Seattle | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 32 |
| seattle-kent-eastside | 3100 s 176th st | Seattle | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 31 |
| seattle-kent-eastside | 10900 ne 4th st | Bellevue | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 29 |
| seattle-kent-eastside | 1420 5th ave | Seattle | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 29 |
| seattle-kent-eastside | 14605 ambaum blvd sw | Seattle | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 29 |
| seattle-kent-eastside | 2018 156th ave ne | Bellevue | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 28 |
| seattle-kent-eastside | 1222 s weller st | Seattle | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 27 |
| seattle-kent-eastside | 2611 western ave | Seattle | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 27 |
| seattle-kent-eastside | 5001 208th st sw | Lynnwood | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 21 |
| seattle-kent-eastside | 135 park ave n | Renton | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 21 |
| seattle-kent-eastside | 601 union st | Seattle | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 18 |
| seattle-kent-eastside | 6520 212th st sw | Lynnwood | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 15 |
| seattle-kent-eastside | 800 bellevue way ne | Bellevue | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 13 |
| seattle-kent-eastside | 4010 192nd st sw | Lynnwood | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 12 |
| seattle-kent-eastside | 14400 bel red rd | Bellevue | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 11 |
| seattle-kent-eastside | 8410 154th ave ne | Redmond | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 10 |
| san-jose-south-bay | 909 story rd | San Jose | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 430 |
| san-jose-south-bay | 2033 gateway pl | San Jose | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 157 |
| san-jose-south-bay | 2635 n 1st st | San Jose | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 138 |
| san-jose-south-bay | 665 s knickerbocker dr | Sunnyvale | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 138 |
| san-jose-south-bay | 1901 s bascom ave | Campbell | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 126 |
| san-jose-south-bay | 919 story rd | San Jose | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 123 |
| san-jose-south-bay | 2235 old middlefield way | Mountain View | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 119 |
| san-jose-south-bay | 3150 almaden expy | San Jose | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 87 |
| san-jose-south-bay | 1861 landings dr | Mountain View | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 84 |
| san-jose-south-bay | 675 n 1st st | San Jose | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 80 |
| san-jose-south-bay | 2105 s winchester blvd | Campbell | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 76 |
| san-jose-south-bay | 333 w santa clara st | San Jose | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 74 |
| san-jose-south-bay | 10050 n wolfe rd | Cupertino | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 67 |
| san-jose-south-bay | 2055 gateway pl | San Jose | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 64 |
| san-jose-south-bay | 929 story rd | San Jose | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 63 |
| san-jose-south-bay | 1649 s main st | Milpitas | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 60 |
| san-jose-south-bay | 1701 lundy ave | San Jose | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 60 |
| san-jose-south-bay | 36 oak ln | Mountain View | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 58 |
| san-jose-south-bay | 2465 e bayshore rd | Palo Alto | HUMAN_REVIEW_REQUIRED | Multiple legacy IDs require duplicate/building-hierarchy review before durable reconciliation. | 58 |
