Geography-link review

All 64 v1 links were reassessed. Candidate/proximity-grade source relationships do not count as reviewed geography.

| Market | Property | Geography | Decision | Basis |
|---|---|---|---|---|
| denver-aurora | 1200 17th st | LoDo | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| denver-aurora | 1550 wewatta st | LoDo | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| denver-aurora | 1600 broadway | Central Business District | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| denver-aurora | 1700 lincoln st | Central Business District | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| denver-aurora | 205 detroit st | Cherry Creek | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| denver-aurora | 2301 blake st | Ballpark | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| denver-aurora | 250 fillmore st | Cherry Creek | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| denver-aurora | 2536 w barberry pl | Sun Valley | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| denver-aurora | 2540 w barberry pl | Sun Valley | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| denver-aurora | 2550 w barberry pl | Sun Valley | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| denver-aurora | 2556 w barberry pl | Sun Valley | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| denver-aurora | 2560 w barberry pl | Sun Valley | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| denver-aurora | 4600 s syracuse st | Denver Tech Center | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| denver-aurora | 4643 s ulster st | Denver Tech Center | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| denver-aurora | 7900 e union ave | Denver Tech Center | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| denver-aurora | 999 18th st | Central Business District | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| indianapolis | 4557 w bradbury ave | Indianapolis Airport Logistics | REVIEWED_CONFIRMED | Reviewed evidence-foundation address relationship. |
| indianapolis | 7601 winton dr | Park 100 / Northwest Indianapolis | REVIEWED_CONFIRMED | Reviewed evidence-foundation address relationship. |
| sacramento | 1329 n market blvd | Northgate / North Market Industrial | REVIEWED_CONFIRMED | Reviewed evidence-foundation address relationship. |
| sacramento | 5711 florin perkins rd | Power Inn Industrial | REVIEWED_CONFIRMED | Reviewed evidence-foundation address relationship. |
| sacramento | 8583 elder creek rd | Power Inn Industrial | REVIEWED_CONFIRMED | Reviewed evidence-foundation address relationship. |
| san-francisco | 1 sansome st | Financial District | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 1045 mission st | Civic Center | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 1100 grant ave | Jackson Square | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 1100 van ness ave | Civic Center | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 1133 market st | Civic Center | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 1390 market st | Civic Center | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 155 post st | Union Square | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 1998 market st | Hayes Valley | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 2 embarcadero ctr | Jackson Square | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 201 mission st | Financial District | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 212 sutter st | Financial District | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 27 drumm st | Jackson Square | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 315 montgomery st | Financial District | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 320 turk st | Civic Center | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 325 kearny st | Financial District | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 33 drumm st | Jackson Square | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 333 kearny st | Financial District | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 345 taylor st | Union Square | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 369 turk st | Civic Center | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 39 grant ave | Union Square | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 415 mission st | Financial District | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
| san-francisco | 418 sutter st | Union Square | DOWNGRADE_TO_CANDIDATE | Source relationship is candidate-level and does not independently prove a reviewed boundary relationship. |
